Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late,Bike_Path_Dist_m,total_safe_bike_path_meters,Pax_annual_norm,Pax_AM_peak_norm,Bike_Path_Dist_m_norm,Train_Line
FY24-25,19854,Flinders Street,-37.81830513,144.9669643,19633300,60900,61800,57400,43150,31350,1100,3600,12600,33650,10900,61.80173275319669,13014.558599980634,1,0.9342105263157895,0.02147189443860922,Sandringham Line
FY24-25,19854,Flinders Street,-37.81830513,144.9669643,19633300,60900,61800,57400,43150,31350,1100,3600,12600,33650,10900,61.80173275319669,13014.558599980634,1,0.9342105263157895,0.02147189443860922,Werribee Line
FY24-25,19854,Flinders Street,-37.81830513,144.9669643,19633300,60900,61800,57400,43150,31350,1100,3600,12600,33650,10900,61.80173275319669,13014.558599980634,1,0.9342105263157895,0.02147189443860922,Williamstown Line
FY24-25,19854,Flinders Street,-37.81830513,144.9669643,19633300,60900,61800,57400,43150,31350,1100,3600,12600,33650,10900,61.80173275319669,13014.558599980634,1,0.9342105263157895,0.02147189443860922,Alamein Line
FY24-25,19854,Flinders Street,-37.81830513,144.9669643,19633300,60900,61800,57400,43150,31350,1100,3600,12600,33650,10900,61.80173275319669,13014.558599980634,1,0.9342105263157895,0.02147189443860922,Belgrave Line
FY24-25,19854,Flinders Street,-37.81830513,144.9669643,19633300,60900,61800,57400,43150,31350,1100,3600,12600,33650,10900,61.80173275319669,13014.558599980634,1,0.9342105263157895,0.02147189443860922,Glen Waverly Line
FY24-25,19854,Flinders Street,-37.81830513,144.9669643,19633300,60900,61800,57400,43150,31350,1100,3600,12600,33650,10900,61.80173275319669,13014.558599980634,1,0.9342105263157895,0.02147189443860922,Lilydale Line
FY24-25,19855,Frankston,-38.14299007,145.1261623,1035450,3050,2950,3350,2750,1900,450,750,850,700,150,41.97288415169836,2013.4853467719158,0.05261884385761151,0.18421052631578946,0.014534391640876524,Frankston Line
FY24-25,19855,Frankston,-38.14299007,145.1261623,1035450,3050,2950,3350,2750,1900,450,750,850,700,150,41.97288415169836,2013.4853467719158,0.05261884385761151,0.18421052631578946,0.014534391640876524,Stony Point Line
FY24-25,19856,Kananook,-38.12174203,145.1352953,173050,550,550,550,350,200,100,250,100,100,50,9.42329236605588,2409.069248191694,0.008687878232165781,0.05263157894736842,0.0031462929864297523,Frankston Line
FY24-25,19857,Seaford,-38.10402104,145.1282304,320500,1000,1000,1000,700,500,200,450,200,150,50,41.97234768482699,3274.565446853093,0.016199034170792836,0.10526315789473684,0.01453420394765763,Frankston Line
FY24-25,19858,Carrum,-38.07489292,145.1224183,343700,1050,1050,950,850,550,150,450,250,150,50,9.738268793113244,5417.283667846239,0.017380850500234326,0.10526315789473684,0.0032564935274619327,Frankston Line
FY24-25,19859,Bonbeach,-38.06294478,145.1196804,141600,450,450,400,300,200,50,250,100,50,50,15.061584924961624,2296.55650829199,0.007085803940746174,0.05263157894736842,0.0051189577229434164,Frankston Line
FY24-25,19860,Chelsea,-38.05195538,145.1160413,352250,1100,1100,1000,800,550,100,500,250,200,50,12.446054183564087,1610.1471760974534,0.017816390569920737,0.11842105263157894,0.004203864153938599,Frankston Line
FY24-25,19861,Edithvale,-38.03805602,145.1085355,201450,650,650,600,450,300,50,350,150,100,50,5.0224205734930285,1662.4080769821198,0.010134584428551053,0.07894736842105263,0.0016065636260945953,Frankston Line
FY24-25,19862,Aspendale,-38.02722019,145.1021496,169500,550,550,450,350,250,50,300,100,100,50,16.625436205772697,330.8295001774224,0.008507039957617622,0.06578947368421052,0.005666101072207018,Frankston Line
FY24-25,19863,Mordialloc,-38.00658295,145.0876594,529850,1600,1600,1600,1300,850,100,650,350,400,100,49.80649690956024,5205.900629823023,0.026863398333231453,0.15789473684210525,0.017275131232781765,Frankston Line
FY24-25,19864,Parkdale,-37.99307882,145.0763268,268050,850,900,600,550,350,50,400,200,250,50,13.224274849164702,4125.250687566188,0.013527212339792571,0.09210526315789473,0.004476139572111378,Frankston Line
FY24-25,19865,Mentone,-37.9818654,145.0651659,583650,1900,2050,1500,1000,650,100,650,450,800,100,30.64292671828179,1750.752061193733,0.029603989648919044,0.15789473684210525,0.010570388840099658,Frankston Line
FY24-25,19866,Cheltenham,-37.96664989,145.0545579,717500,2200,2300,1800,1700,1100,200,1150,450,450,100,23.646259933219692,1856.2056481884715,0.03642235670477006,0.2894736842105263,0.00812247084084155,Frankston Line
