Stop_name,Train_Line,Pax_annual,Pax_annual_norm,Pax_AM_peak,Pax_AM_peak_norm,Bike_Path_Dist_m,Bike_Path_Dist_m_norm
Burnley,Belgrave Line,881250,0.04476384049554781,700,0.17105263157894737,160.3408436061755,0.05594769134277121
Burnley,Glen Waverly Line,881250,0.04476384049554781,700,0.17105263157894737,160.3408436061755,0.05594769134277121
Burnley,Lilydale Line,881250,0.04476384049554781,700,0.17105263157894737,160.3408436061755,0.05594769134277121
East Richmond,Alamein Line,575900,0.029209201866454756,300,0.06578947368421052,44.8288691117122,0.015533612727716703
East Richmond,Belgrave Line,575900,0.029209201866454756,300,0.06578947368421052,44.8288691117122,0.015533612727716703
East Richmond,Glen Waverly Line,575900,0.029209201866454756,300,0.06578947368421052,44.8288691117122,0.015533612727716703
East Richmond,Lilydale Line,575900,0.029209201866454756,300,0.06578947368421052,44.8288691117122,0.015533612727716703
Richmond,Pakenham Line,3712750,0.18900146708234,900,0.2236842105263158,74.43096891869807,0.02589047481068248
Richmond,Frankston Line,3712750,0.18900146708234,900,0.2236842105263158,74.43096891869807,0.02589047481068248
Richmond,Sandringham Line,3712750,0.18900146708234,900,0.2236842105263158,74.43096891869807,0.02589047481068248
Richmond,Alamein Line,3712750,0.18900146708234,900,0.2236842105263158,74.43096891869807,0.02589047481068248
Richmond,Belgrave Line,3712750,0.18900146708234,900,0.2236842105263158,74.43096891869807,0.02589047481068248
Richmond,Glen Waverly Line,3712750,0.18900146708234,900,0.2236842105263158,74.43096891869807,0.02589047481068248
Richmond,Lilydale Line,3712750,0.18900146708234,900,0.2236842105263158,74.43096891869807,0.02589047481068248
Heyington,Glen Waverly Line,189500,0.00952584713817063,150,0.02631578947368421,109.14981758381099,0.03803752956857088
Kooyong,Glen Waverly Line,233000,0.011741752755873424,250,0.05263157894736842,89.77657320380399,0.03125942864155578
Tooronga,Glen Waverly Line,453150,0.022956272795810664,650,0.15789473684210525,96.95882843143278,0.0337722783151339
Gardiner,Glen Waverly Line,399400,0.020218228498074454,650,0.15789473684210525,103.59746782781566,0.03609493356915932
Springvale,Cranbourne Line,1429400,0.07268679829655439,1200,0.3026315789473684,1.2822224568938023,0.000297983616258774
Springvale,Pakenham Line,1429400,0.07268679829655439,1200,0.3026315789473684,1.2822224568938023,0.000297983616258774
Springvale,Sunbury Line,1429400,0.07268679829655439,1200,0.3026315789473684,1.2822224568938023,0.000297983616258774
Westall,Cranbourne Line,634250,0.03218157181571816,750,0.18421052631578946,18.510658250868943,0.0063256821439599325
Westall,Pakenham Line,634250,0.03218157181571816,750,0.18421052631578946,18.510658250868943,0.0063256821439599325
Westall,Sunbury Line,634250,0.03218157181571816,750,0.18421052631578946,18.510658250868943,0.0063256821439599325
Clayton,Cranbourne Line,1514000,0.07699635267029362,1350,0.34210526315789475,6.638169360400201,0.002171864312729255
Clayton,Pakenham Line,1514000,0.07699635267029362,1350,0.34210526315789475,6.638169360400201,0.002171864312729255
Clayton,Sunbury Line,1514000,0.07699635267029362,1350,0.34210526315789475,6.638169360400201,0.002171864312729255
Huntingdale,Cranbourne Line,1590050,0.08087036697434644,1400,0.35526315789473684,17.295374881220848,0.005900491960383938
Huntingdale,Pakenham Line,1590050,0.08087036697434644,1400,0.35526315789473684,17.295374881220848,0.005900491960383938
Huntingdale,Sunbury Line,1590050,0.08087036697434644,1400,0.35526315789473684,17.295374881220848,0.005900491960383938
Oakleigh,Cranbourne Line,1624200,0.0826099802351407,1500,0.3815789473684211,19.58699396528131,0.006702258826756894
